"Train/step","ppo_discrete_2025-05-21_16-02-29 - _step","ppo_discrete_2025-05-21_16-02-29 - _step__MIN","ppo_discrete_2025-05-21_16-02-29 - _step__MAX","ppo_discrete_2025-05-21_16-02-29 - Train/actor_loss","ppo_discrete_2025-05-21_16-02-29 - Train/actor_loss__MIN","ppo_discrete_2025-05-21_16-02-29 - Train/actor_loss__MAX"
"5000","277.5","273","282","-0.43519209176301954","-2.584770679473877","1.162442922592163"
"10000","586.5","582","591","-0.20000958442687988","-1.3985730409622192","0.7183019518852234"
"15000","890.5","886","895","0.1244035454466939","-1.0323882102966309","1.5180702209472656"
"20000","1192.5","1188","1197","-0.7907698035240174","-1.4825464487075806","0.29745399951934814"
"25000","1490.5","1486","1495","0.5159601457417011","-0.8922910690307617","1.492369294166565"
"30000","1789.5","1785","1794","-0.3906974457204342","-0.7848790287971497","0.21730513870716095"
"35000","2080.5","2076","2085","0.21170436441898347","-0.5743434429168701","0.6977954506874084"
"40000","2386.5","2382","2391","-0.18999378457665445","-0.606552004814148","0.5459442734718323"
"45000","2692.5","2688","2697","0.17325906716287137","-0.6316203474998474","1.1912506818771362"
"50000","3014.5","3010","3019","-0.20923620611429214","-0.5428534746170044","0.3144614100456238"
"55000","3326.5","3322","3331","0.12505440898239611","-0.2697324752807617","0.5986301302909851"
"60000","3649.5","3645","3654","0.03322107195854187","-0.31875866651535034","0.3104979991912842"
"65000","3945.5","3941","3950","0.17318473029881715","-0.746153712272644","0.8051411509513855"
"70000","4264.5","4260","4269","-0.5730581112205982","-1.135855793952942","-0.0767492949962616"
"75000","4592.5","4588","4597","0.5297133132815361","-0.39490288496017456","0.9939556121826172"
"80000","4918.5","4914","4923","-0.3746024377178401","-0.7800986766815186","0.21279151737689972"
"85000","5229.5","5225","5234","0.004013660550117493","-1.1845817565917969","1.0618202686309814"
"90000","5528.5","5524","5533","-0.12083794549107552","-0.5777145624160767","0.3284507095813751"
"95000","5843.5","5839","5848","0.02349555380642414","-0.338955819606781","0.24826249480247498"
"100000","6160.5","6156","6165","0.07157792877405882","-0.278533399105072","0.33946019411087036"
"105000","6465.5","6461","6470","-0.09380953568033874","-0.5375747680664062","0.2922123372554779"
"110000","6757.5","6753","6762","-0.41054859310388564","-0.8744664788246155","0.19921082258224487"
