"Train/step","ppo_discrete_2025-05-21_16-02-29 - _step","ppo_discrete_2025-05-21_16-02-29 - _step__MIN","ppo_discrete_2025-05-21_16-02-29 - _step__MAX","ppo_discrete_2025-05-21_16-02-29 - Train/critic_loss","ppo_discrete_2025-05-21_16-02-29 - Train/critic_loss__MIN","ppo_discrete_2025-05-21_16-02-29 - Train/critic_loss__MAX"
"5000","277.5","273","282","0.2089251086115837","0.06911348551511765","0.4250887632369995"
"10000","586.5","582","591","0.2099172905087471","0.07156850397586823","0.364871621131897"
"15000","890.5","886","895","0.21730737388134003","0.11775164306163788","0.36430081725120544"
"20000","1192.5","1188","1197","0.1923920400440693","0.07803823053836823","0.37076184153556824"
"25000","1490.5","1486","1495","0.21100527346134185","0.07884575426578522","0.46390992403030396"
"30000","1789.5","1785","1794","0.10735273361206055","0.06923533976078033","0.1626342236995697"
"35000","2080.5","2076","2085","0.09959327280521393","0.0633694976568222","0.1221940666437149"
"40000","2386.5","2382","2391","0.09753652065992355","0.06961057335138321","0.14336098730564117"
"45000","2692.5","2688","2697","0.12324839383363724","0.07078327983617783","0.18399006128311157"
"50000","3014.5","3010","3019","0.09975603073835373","0.06867970526218414","0.15627872943878174"
"55000","3326.5","3322","3331","0.08258722983300686","0.051221512258052826","0.12654909491539001"
"60000","3649.5","3645","3654","0.08503722250461579","0.04742266237735748","0.14463859796524048"
"65000","3945.5","3941","3950","0.09247829169034957","0.042669542133808136","0.14188557863235474"
"70000","4264.5","4260","4269","0.07971460670232773","0.039970070123672485","0.1280744969844818"
"75000","4592.5","4588","4597","0.12043053992092609","0.0425092913210392","0.21374434232711792"
"80000","4918.5","4914","4923","0.07920558638870716","0.0499112531542778","0.10177669674158096"
"85000","5229.5","5225","5234","0.079722448438406","0.05299428105354309","0.12189605832099915"
"90000","5528.5","5524","5533","0.067280687764287","0.045618996024131775","0.12417173385620117"
"95000","5843.5","5839","5848","0.06742550022900104","0.04517151787877083","0.1247292011976242"
"100000","6160.5","6156","6165","0.07175585515797138","0.05172213166952133","0.1274038553237915"
"105000","6465.5","6461","6470","0.0725151214748621","0.04696561023592949","0.10736189782619476"
"110000","6757.5","6753","6762","0.06917685344815254","0.044481679797172546","0.1015339195728302"
"115000","7072.5","7068","7077","0.06745620146393776","0.04395407438278198","0.12609368562698364"
"120000","7370.5","7366","7375","0.07855218537151813","0.04670511186122894","0.10126873850822449"
"125000","7670.5","7666","7675","0.05425755418837071","0.03243601322174072","0.08559183031320572"
"130000","7956.5","7952","7961","0.0684768721461296","0.04251844435930252","0.13881616294384003"
"135000","8251.5","8247","8256","0.03597309477627277","0.028644505888223648","0.046156685799360275"
"140000","8551.5","8547","8556","0.045107426680624486","0.02532217837870121","0.10089951008558273"
"145000","8850.5","8846","8855","0.052328264340758324","0.0332639142870903","0.09291881322860718"
"150000","9134.5","9130","9139","0.03968383111059666","0.0329008549451828","0.048839204013347626"
"155000","9431.5","9427","9436","0.040123185701668264","0.029920319095253944","0.047234974801540375"
